2025-11-18 13:06:21,113 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251114, items=34 >
2025-11-18 13:06:21,116 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251114, items=31 >
2025-11-18 13:06:21,118 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251114, items=41 >
2025-11-18 13:06:21,122 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251114, items=21 >
2025-11-23 14:39:33,691 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Syracuse, date=20251121, items=15 >
2025-11-25 12:34:51,840 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251121, items=35 >
2025-11-25 12:34:51,846 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251122, items=36 >
2025-11-25 12:34:51,848 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251121, items=23 >
2025-12-01 07:33:32,384 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Syracuse, date=20251126, items=22 >
2025-12-07 14:00:13,069 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Syracuse, date=20251205, items=8 >
2025-12-10 16:02:12,607 - INFO - backend.app.services.transfer_service.ArchiveTransfer - (transfer_service.py:63) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251205, items=25 >
